step,phase,distance_to_object,reach_error,s_ee_x,s_ee_y,s_ee_z,s_obj_rel_x,s_obj_rel_y,s_obj_rel_z,action_move_x,action_move_y,action_move_z,action_grip,obs_contact,obs_grip,true_ee_x,true_ee_y,true_ee_z,true_obj_x,true_obj_y,true_obj_z
0,Reach,0.7530672880965606,0.6802919157152681,0.08192733349101887,-0.0011345745771822614,0.8307334510562856,0.2958571999789436,0.02780728240154644,-0.6919578113347434,0.004348974214516063,0.000408755149946321,-0.008995517912208656,0,0,7.76611095660772e-05,0.08204253822021706,0.0010236664773787584,0.8302721298090928,0.4,0.0,0.15209401056927244
1,Reach,0.7438050544138656,0.6708958171920769,0.08132059187493353,8.802291640298842e-05,0.8306539752211718,0.29067300160207193,-0.0017395517713963415,-0.6846547590361802,0.004332610133397992,-2.592879142810797e-05,-0.009012647620413887,0,0,7.426269706689481e-05,0.08201266673779563,0.0010132983992476104,0.830297769271926,0.4,0.0,0.15014198217283786
2,Reach,0.7534215686156623,0.6825100503122945,0.08223327483179041,0.0018103944033897052,0.8284006663526305,0.33152030543236544,-0.014853127130288322,-0.6764005704874647,0.0048573688443221096,-0.000217625031653263,-0.0087383412187787,0,0,0.00011514985486583055,0.08221725343562838,0.0010366359815399348,0.8302835882138047,0.4,0.0,0.14815111195044778
3,Reach,0.7676445815175735,0.6960889730923485,0.08154172639064186,0.001488238534440577,0.8281921590710651,0.32677410161115317,-0.0027145427700804954,-0.6946146567033147,0.004694430083549116,-3.899706610810459e-05,-0.008829541631336476,0,0,0.00019639379939390445,0.08285742028608359,0.0010470908319729615,0.8301941188909111,0.4,0.0,0.146121407668914
4,Reach,0.7724100975478619,0.7008111480241496,0.08460202744248477,0.0031343290196240966,0.8280905144616619,0.32810181700093544,0.00253676750167821,-0.6992568349935699,0.004681743689808274,3.6197590589566285e-05,-0.008836286876136148,0,0,0.0003236937880025018,0.0840632995604401,0.0010990543118840628,0.8300038673307588,0.4,0.0,0.1440528770934953
5,Reach,0.7631375110757481,0.6918137687796865,0.0851090717810108,0.0026697418125525467,0.8294448114744069,0.32827372960471396,-0.0217894777868376,-0.688578563360838,0.004745117030321137,-0.00031496160918093307,-0.008796855321835098,0,0,0.0004865707331984484,0.08596347636337523,0.0011433090135133557,0.8296870191482235,0.4,0.0,0.14194552798789772
6,Reach,0.7400843935903167,0.6682953302168422,0.08812314324347643,0.0010329199541162593,0.8265569994220647,0.3095802371296692,-0.020405503485901533,-0.6719141327894298,0.004632386657994745,-0.00030533661636211864,-0.008857074200972962,0,0,0.0006850077957992629,0.08864767520338238,0.0012348918760174104,0.8292194882529953,0.4,0.0,0.13979936811427487
7,Reach,0.7330384468527974,0.6613100591656644,0.08976106530374253,0.002034287365102481,0.8295146663524766,0.30822207064003426,-0.00024349956947917247,-0.6650898138166687,0.004660780013370729,-3.6820787179070195e-06,-0.008847435566832927,0,0,0.0009091839005315049,0.09219599541296944,0.0013322906937904876,0.8285736345885041,0.4,0.0,0.13761440523322824
8,Reach,0.7424163237367951,0.6699670959573291,0.09471528687607148,-0.0005076325839043559,0.8282772699770133,0.29891724704443473,0.007649512883689144,-0.679538050533505,0.004461670563347683,0.0001141774413974556,-0.008948768591042721,0,0,0.0011552925141482685,0.09666616532910113,0.0014686236048342084,0.8277188086644949,0.4,0.0,0.13539064710380747
9,Reach,0.7453264928654375,0.6729576452325144,0.09918524095679172,0.001812691250623936,0.8262050259574596,0.3017742732106858,-0.002263367841491209,-0.6814974293137646,0.004484298162723442,-3.363313958204888e-05,-0.008938117184268565,0,0,0.0014124834708909286,0.10209489358180984,0.001610324396783944,0.8266214730467032,0.4,0.0,0.13312810148351076
10,Reach,0.7509006248171178,0.6789098361451129,0.10505901661688663,0.0025211640799883443,0.8266026560609605,0.30936705226632777,-0.03464992393004788,-0.6833323921009622,0.004556820888366131,-0.0005103759304297613,-0.008886782308630502,0,0,0.0016779755814544416,0.10850370925038985,0.00177464885932567,0.825243392790117,0.4,0.0,0.1308267761282851
11,Reach,0.7377103317602968,0.6638190843182119,0.11189468425750479,0.0005466105023079165,0.8271406474431263,0.2679435508108012,-0.010184427481893889,-0.687254730505111,0.00403639420951565,-0.0001534217337597939,-0.009147895034214083,0,0,0.0019412036540418548,0.1159034862603941,0.0019534405501121068,0.8235411793939362,0.4,0.0,0.1284866787925266
12,Reach,0.7339585608103302,0.6596958511368887,0.12274899444103339,0.0025989472236827497,0.8226283506242889,0.2583773055141764,-0.01298717810129587,-0.6868534561221704,0.00391661255817967,-0.00019686614792126375,-0.009198988519881516,0,0,0.002199697445624319,0.12429089867459073,0.002138492317628003,0.8214669714048419,0.4,0.0,0.12610781722908077
13,Reach,0.7563573978695656,0.6811062001790461,0.13194430481564914,0.0022808714357011386,0.8184121389860279,0.24329817106982243,0.01137255572196873,-0.7160678586855093,0.0035721033079109442,0.00016697184255523096,-0.00933874715159402,0,0,0.0024480342075492052,0.13364795249019562,0.002339119865708521,0.8189690550902298,0.4,0.0,0.12369019918924291
14,Reach,0.7763199945911453,0.7019040002605581,0.14138052487206604,0.0022245771973481965,0.8163959016709148,0.2708015691289464,-0.007147655705018368,-0.7275219276263905,0.003858099811775121,-0.00010183238309462607,-0.009225220648208585,0,0,0.002683545685201488,0.14395732911146394,0.0025059783312731017,0.8159888448195753,0.4,0.0,0.12123383242275836
15,Reach,0.743796453940287,0.66858870332135,0.15076161839727498,0.003177275081475743,0.8135602903542147,0.23941339233111048,-0.021308360180619542,-0.7038894417826341,0.003580877019635179,-0.0003187065541904304,-0.009331438576262759,0,0,0.002900268657589001,0.15517625456504003,0.0026641481884812543,0.8124689086618238,0.4,0.0,0.11873872467782279
16,Reach,0.7407120684978322,0.6666402011908618,0.16291226670617795,0.004977331484426514,0.8095928964687953,0.2653975384714428,-0.0011068095432493373,-0.6915325660909046,0.003981121120468677,-1.6602802250331933e-05,-0.009173352657077763,0,0,0.0030962378690588387,0.1672645878572697,0.0028293161995143817,0.8083463156937746,0.4,0.0,0.11620488370108258
17,Reach,0.743677473676289,0.6683073671211346,0.1753441390217889,0.004683450214482607,0.8055129457895287,0.2349323484310108,-0.025474475082521427,-0.7051340494072795,0.003515333811791244,-0.00038117902533766365,-0.009353990097403347,0,0,0.0032710395858906,0.18017799459689712,0.002979633422009796,0.8035550460984091,0.4,0.0,0.11363231723763505
18,Reach,0.724120347170331,0.6490313929998254,0.18810266434668016,0.003996401079947679,0.7996798918971855,0.23644910223186344,-2.5621157938306507e-05,-0.6844283005424182,0.0036431073255023126,-3.9475991785059005e-07,-0.009312774498452971,0,0,0.003423575960238219,0.1938509821046329,0.0031152323130036754,0.7980338253640263,0.4,0.0,0.11102103303102884
19,Reach,0.7493653532556149,0.6735256226231695,0.20404552241495524,0.004591974163624116,0.7938376355046706,0.22586650075539036,-0.009844593067432282,-0.7144479270624028,0.0033534952965220788,-0.00014616508617876635,-0.009419803876078665,0,0,0.0035534026943810477,0.20822445746904683,0.0032198445091406406,0.7917159938695142,0.4,0.0,0.10837103882326418
20,Reach,0.7230558312236938,0.6471929922148728,0.21939779294186215,0.0050516774478828585,0.7881163045608869,0.21654012303043735,0.015586385867820025,-0.689693536840914,0.003345835409765136,0.0002408305722606655,-0.009420583105425396,0,0,0.0036615179725169493,0.22321886122764004,0.0032972298345123386,0.7845423353900322,0.4,0.0,0.10568234235479322
21,Reach,0.6965753711178378,0.619740047400011,0.23241549616797302,0.002607010367034624,0.7798702831374567,0.18253179384856605,-0.01230439373074134,-0.6721220081036604,0.0029452960901000316,-0.00019854120743627648,-0.009554360906444305,0,0,0.0037480540079288514,0.238761862400209,0.0033216541106958425,0.7764489593165332,0.4,0.0,0.10295495136452032
