step,phase,distance_to_object,reach_error,s_ee_x,s_ee_y,s_ee_z,s_obj_rel_x,s_obj_rel_y,s_obj_rel_z,action_move_x,action_move_y,action_move_z,action_grip,obs_contact,obs_grip,true_ee_x,true_ee_y,true_ee_z,true_obj_x,true_obj_y,true_obj_z
0,Reach,0.7776086072280604,0.7062121362925922,0.08253489424857509,-0.00017053379981832794,0.8321166293138872,0.3342146307357706,0.00018006564280076388,-0.7021222786763576,0.004732496279238417,2.5497387193889925e-06,-0.008809283311701754,0,0,7.76611095660772e-05,0.08204253822021706,0.0010236664773787584,0.8302721298090928,0.4,0.0,0.15209401056927244
1,Reach,0.7487824618280721,0.6763377635921483,0.08129098840626461,-0.0026111614454535745,0.8294510427468866,0.301788089967634,0.003311129397172424,-0.6852650292529968,0.004462091372286898,4.8956742849703324e-05,-0.008949153246128508,0,0,7.426269706689481e-05,0.08201266673779563,0.0010132983992476104,0.830297769271926,0.4,0.0,0.15014198217283786
2,Reach,0.74810646328905,0.6753395749314719,0.08165359679498084,-0.0019165383180812195,0.8298464551993638,0.2951793882348679,-0.0070895395774362435,-0.6873733684139355,0.004370829123479404,-0.0001049774045620773,-0.008993599530659327,0,0,0.00011519377303127951,0.08221732837897915,0.0010363025629572325,0.8302835803883301,0.4,0.0,0.14815111195044778
3,Reach,0.7482271720337375,0.6759773480550991,0.08181485059567858,0.0006449312394211342,0.8285533901467723,0.30524172917536785,-0.004920323295668062,-0.6831157867874974,0.004515561505923236,-7.278828661677291e-05,-0.00892213013531834,0,0,0.00019648018147086456,0.08285769638945131,0.0010461980495456312,0.8301941026002215,0.4,0.0,0.146121407668914
4,Reach,0.7443963969063446,0.6726884073649688,0.07825248443115068,-0.0010237579464060286,0.8298049180533014,0.31327472045061944,-0.014912545527170194,-0.6751018895245624,0.00465705543637608,-0.00022168578146879457,-0.008846620262948702,0,0,0.00032381104071332607,0.0840637600795231,0.0010975112805493618,0.8300038565791032,0.4,0.0,0.1440528770934953
5,Reach,0.7685663015218429,0.6968228247747258,0.08446956808202784,0.00013544129164417548,0.8290711731932621,0.32205990420646236,-0.0325124232459855,-0.697075691924602,0.004621833452579289,-0.0004665809168420447,-0.008855560839645213,0,0,0.00048672257281906934,0.08596405369069358,0.001141061725126733,0.8296870164124277,0.4,0.0,0.14194552798789772
6,Reach,0.7466467486424987,0.6751668882649455,0.08768223554430604,-0.0006635093422313647,0.8300462077678795,0.3180398551801035,-0.021096872695015062,-0.6751940015565332,0.0047105369162490675,-0.00031246900672558364,-0.008815509348897013,0,0,0.0006851470416349606,0.0886482759955887,0.001231698522367132,0.8292195032485671,0.4,0.0,0.13979936811427487
7,Reach,0.7611258473566266,0.688883351587974,0.09193460338823133,0.0004971499738121466,0.8269235771013685,0.3095692334880789,-0.029477008782890578,-0.6947017713703914,0.004493783058836853,-0.0004278955024089621,-0.008923161954101757,0,0,0.0009093618063823937,0.09219645306820694,0.0013282350730205311,0.8285736918356824,0.4,0.0,0.13761440523322824
8,Reach,0.7585858296932011,0.686737302843845,0.09566696041629635,0.0017269225001913494,0.8265831651788589,0.31730584966689124,-0.0033313556774010027,-0.6890271118380213,0.004620483674803994,-4.8509898378980426e-05,-0.008868414593411218,0,0,0.0011552672138287414,0.0966666044049252,0.0014636910504086393,0.827718879640408,0.4,0.0,0.13539064710380747
9,Reach,0.7683187055502777,0.6951242023291344,0.09813697054124568,0.0003684250726349048,0.8271248057412806,0.2945074396724005,-0.014981083552145509,-0.7094748539671194,0.004236759973046574,-0.00021551664439173297,-0.009055573836415918,0,0,0.001412283503185768,0.10209464534658577,0.001603378428936368,0.8266217122056874,0.4,0.0,0.13312810148351076
